行命名,LevelNum,X,Y,ActorType
1,2,0,0,Wall
2,2,1,0,Wall
3,2,2,0,Wall
4,2,3,0,Wall
5,2,4,0,Wall
6,2,5,0,Wall
7,2,6,0,Wall
8,2,7,0,Wall
9,2,8,0,Wall
10,2,9,0,Empty
11,2,10,0,Empty
12,2,11,0,Empty
13,2,0,1,Wall
14,2,1,1,Empty
15,2,2,1,Empty
16,2,3,1,Empty
17,2,4,1,Empty
18,2,5,1,Empty
19,2,6,1,Empty
20,2,7,1,Empty
21,2,8,1,Wall
22,2,9,1,Empty
23,2,10,1,Empty
24,2,11,1,Empty
25,2,0,2,Wall
26,2,1,2,Empty
27,2,2,2,Empty
28,2,3,2,Empty
29,2,4,2,Goal
30,2,5,2,Box
31,2,6,2,Empty
32,2,7,2,Player
33,2,8,2,Wall
34,2,9,2,Empty
35,2,10,2,Empty
36,2,11,2,Empty
37,2,0,3,Empty
38,2,1,3,Wall
39,2,2,3,Empty
40,2,3,3,Empty
41,2,4,3,Empty
42,2,5,3,Empty
43,2,6,3,Empty
44,2,7,3,Empty
45,2,8,3,Wall
46,2,9,3,Empty
47,2,10,3,Empty
48,2,11,3,Empty
49,2,0,4,Empty
50,2,1,4,Wall
51,2,2,4,Empty
52,2,3,4,Empty
53,2,4,4,Empty
54,2,5,4,Empty
55,2,6,4,Empty
56,2,7,4,Empty
57,2,8,4,Wall
58,2,9,4,Empty
59,2,10,4,Empty
60,2,11,4,Empty
61,2,0,5,Empty
62,2,1,5,Wall
63,2,2,5,Wall
64,2,3,5,Wall
65,2,4,5,Wall
66,2,5,5,Wall
67,2,6,5,Wall
68,2,7,5,Wall
69,2,8,5,Wall
70,2,9,5,Empty
71,2,10,5,Empty
72,2,11,5,Empty
