行命名,LevelNum,X,Y,ActorType
1,3,0,0,Wall
2,3,1,0,Wall
3,3,2,0,Wall
4,3,3,0,Wall
5,3,4,0,Wall
6,3,5,0,Wall
7,3,6,0,Wall
8,3,7,0,Empty
9,3,8,0,Empty
10,3,9,0,Empty
11,3,10,0,Empty
12,3,11,0,Empty
13,3,12,0,Empty
14,3,13,0,Empty
15,3,14,0,Empty
16,3,15,0,Empty
17,3,16,0,Empty
18,3,17,0,Empty
19,3,18,0,Empty
20,3,19,0,Empty
21,3,0,1,Wall
22,3,1,1,Empty
23,3,2,1,Goal
24,3,3,1,Box
25,3,4,1,Empty
26,3,5,1,Empty
27,3,6,1,Wall
28,3,7,1,Empty
29,3,8,1,Empty
30,3,9,1,Empty
31,3,10,1,Empty
32,3,11,1,Empty
33,3,12,1,Empty
34,3,13,1,Empty
35,3,14,1,Empty
36,3,15,1,Empty
37,3,16,1,Empty
38,3,17,1,Empty
39,3,18,1,Empty
40,3,19,1,Empty
41,3,0,2,Wall
42,3,1,2,Empty
43,3,2,2,Empty
44,3,3,2,Empty
45,3,4,2,Empty
46,3,5,2,Player
47,3,6,2,Wall
48,3,7,2,Empty
49,3,8,2,Empty
50,3,9,2,Empty
51,3,10,2,Empty
52,3,11,2,Empty
53,3,12,2,Empty
54,3,13,2,Empty
55,3,14,2,Empty
56,3,15,2,Empty
57,3,16,2,Empty
58,3,17,2,Empty
59,3,18,2,Empty
60,3,19,2,Empty
61,3,0,3,Wall
62,3,1,3,Wall
63,3,2,3,Wall
64,3,3,3,Box
65,3,4,3,Wall
66,3,5,3,Empty
67,3,6,3,Wall
68,3,7,3,Empty
69,3,8,3,Empty
70,3,9,3,Empty
71,3,10,3,Empty
72,3,11,3,Empty
73,3,12,3,Empty
74,3,13,3,Empty
75,3,14,3,Empty
76,3,15,3,Empty
77,3,16,3,Empty
78,3,17,3,Empty
79,3,18,3,Empty
80,3,19,3,Empty
81,3,0,4,Empty
82,3,1,4,Empty
83,3,2,4,Wall
84,3,3,4,Empty
85,3,4,4,Empty
86,3,5,4,Goal
87,3,6,4,Wall
88,3,7,4,Empty
89,3,8,4,Empty
90,3,9,4,Empty
91,3,10,4,Empty
92,3,11,4,Empty
93,3,12,4,Empty
94,3,13,4,Empty
95,3,14,4,Empty
